Estimator,MSE,seconds
IPS,0.00014222231763105273,0.0003077983856201172
DM,0.003316836156168599,0.010897636413574219
DR,3.217327282237972e-07,0.0006287097930908203
OCV$_{\mathregular{IPS}}$,0.00014222231763105273,0.04131293296813965
OCV$_{\mathregular{DR}}$,3.217327282237972e-07,0.0822291374206543
SLOPE,0.003316836156168599,0.0034720897674560547
PAS-IF,0.003316836156168599,5.026902675628662
IPS,2.651833332584301e-07,0.0002911090850830078
DM,0.006664070803218949,0.0015175342559814453
DR,0.0005057713069393752,0.0004699230194091797
OCV$_{\mathregular{IPS}}$,2.651833332584301e-07,0.03474092483520508
OCV$_{\mathregular{DR}}$,0.0005057713069393752,0.07719016075134277
SLOPE,0.006664070803218949,0.0025866031646728516
PAS-IF,0.006664070803218949,4.519066333770752
IPS,0.00032879305541762906,0.0002830028533935547
DM,0.0020916065569712887,0.001497507095336914
DR,0.0010076730823867955,0.0004990100860595703
OCV$_{\mathregular{IPS}}$,0.00032879305541762906,0.04432964324951172
OCV$_{\mathregular{DR}}$,0.0010076730823867955,0.08489513397216797
SLOPE,0.0020916065569712887,0.001969575881958008
PAS-IF,0.0020916065569712887,4.842508792877197
IPS,0.004006632570595457,0.00041294097900390625
DM,0.010082673582367285,0.0020570755004882812
DR,0.0016031785498336313,0.0005445480346679688
OCV$_{\mathregular{IPS}}$,0.004006632570595457,0.04354357719421387
OCV$_{\mathregular{DR}}$,0.0016031785498336313,0.08625936508178711
SLOPE,0.010082673582367285,0.002065896987915039
PAS-IF,0.004006632570595457,4.4047300815582275
IPS,5.0529080513938375e-05,0.0006089210510253906
DM,0.009469083699251748,0.0018191337585449219
DR,1.4293639844229022e-06,0.0005285739898681641
OCV$_{\mathregular{IPS}}$,5.0529080513938375e-05,0.03779411315917969
OCV$_{\mathregular{DR}}$,1.4293639844229022e-06,0.08956122398376465
SLOPE,1.4293639844229022e-06,0.003797769546508789
PAS-IF,0.009469083699251748,4.331679821014404
